start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	491	162	62	442	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000352_000491_group.png
494	1417	91	37	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_000494_001417_group.png
1515	1604	89	238	204	274	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_001515_001604_group.png
1754	3784	126	56	634	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_001754_003784_group.png
4635	5259	194	76	648	809	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_004635_005259_group.png
5276	5525	114	808	466	832	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005276_005525_group.png
5549	6523	84	779	883	922	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_005549_006523_group.png
6528	6541	889	858	910	917	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_006528_006541_group.png
6579	7753	29	784	902	1012	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_006579_007753_group.png
7827	8018	130	1055	504	1100	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_007827_008018_group.png
8022	8172	191	960	529	1096	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_008022_008172_group.png
8268	8432	131	789	345	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_008268_008432_group.png
8611	9196	157	1077	425	1206	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_008611_009196_group.png
9197	10573	147	773	510	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_009197_010573_group.png
10611	10628	539	1174	570	1204	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_010611_010628_group.png
10672	10690	241	794	254	806	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_010672_010690_group.png
10837	10863	626	967	649	995	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_010837_010863_group.png
10864	11728	238	790	705	1203	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_010864_011728_group.png
11827	11911	65	1105	136	1210	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_011827_011911_group.png
11938	12673	752	1005	1265	1217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_011938_012673_group.png
12712	12872	97	1244	514	1290	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_012712_012872_group.png
13388	13389	167	0	396	0	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_013388_013389_group.png
13842	13957	221	1327	501	1377	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_013842_013957_group.png
14003	14397	94	1367	324	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_014003_014397_group.png
14544	14562	342	1470	375	1498	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_014544_014562_group.png
14631	15286	154	1353	542	1504	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_014631_015286_group.png
15367	15400	569	1468	596	1497	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_015367_015400_group.png
15490	15562	253	1354	275	1373	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_015490_015562_group.png
15618	16050	46	1446	718	1589	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_015618_016050_group.png
16187	16513	512	987	1222	1375	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_016187_016513_group.png
16889	17002	143	0	1138	1136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_016889_017002_group.png
17290	17626	135	2187	616	2234	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_017290_017626_group.png
17820	22148	96	2157	627	2373	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_017820_022148_group.png
22228	22253	649	2325	679	2354	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_022228_022253_group.png
22316	22361	699	2303	784	2369	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_022316_022361_group.png
22439	24033	205	2218	947	2362	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_022439_024033_group.png
24078	24104	960	2317	1008	2349	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_024078_024104_group.png
24274	25081	133	2318	1061	2492	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences//lines/obj_024274_025081_group.png
