start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	507	162	57	456	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000352_000507_group.png
618	753	91	96	352	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000618_000753_group.png
352	916	162	37	456	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000352_000916_group.png
352	1262	91	37	456	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000352_001262_group.png
618	1417	91	86	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000618_001417_group.png
1515	1604	89	238	204	274	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_001515_001604_group.png
1515	1897	89	238	380	283	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_001515_001897_group.png
692	2156	91	98	475	271	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000692_002156_group.png
352	2618	162	37	603	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000352_002618_group.png
352	3092	91	37	634	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000352_003092_group.png
692	3457	91	98	634	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000692_003457_group.png
692	3552	91	98	634	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000692_003552_group.png
692	3784	91	98	634	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000692_003784_group.png
352	4900	162	37	603	809	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_000352_004900_group.png
4677	5259	211	755	648	809	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_005259_group.png
4677	5525	114	755	648	832	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_005525_group.png
4677	6159	106	755	648	914	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_006159_group.png
5679	6523	84	857	883	922	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_005679_006523_group.png
5679	6541	84	857	910	922	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_005679_006541_group.png
5679	7162	29	857	910	991	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_005679_007162_group.png
6648	7272	29	925	876	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_006648_007272_group.png
6648	7280	29	925	902	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_006648_007280_group.png
4677	7753	29	755	902	1012	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_007753_group.png
7827	8033	130	1050	529	1100	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_007827_008033_group.png
6648	8172	29	925	902	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_006648_008172_group.png
4677	8375	131	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_008375_group.png
4677	8432	131	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_008432_group.png
7827	8793	130	1050	529	1204	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_007827_008793_group.png
7827	8990	130	1050	529	1205	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_007827_008990_group.png
8761	9181	157	1163	362	1206	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_009181_group.png
8761	9200	157	1163	403	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_009200_group.png
4677	9774	131	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_009774_group.png
4677	10025	131	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_010025_group.png
7827	10232	130	1050	529	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_007827_010232_group.png
7827	10573	130	1039	529	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_007827_010573_group.png
8761	10628	157	1161	570	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_010628_group.png
4677	10690	131	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_010690_group.png
6648	10876	29	925	902	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_006648_010876_group.png
4677	11030	131	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_011030_group.png
4677	11188	131	755	648	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_004677_011188_group.png
6648	11509	29	925	902	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_006648_011509_group.png
8761	11581	157	1144	705	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_011581_group.png
8761	11728	157	1144	705	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_011728_group.png
8761	11911	65	1105	705	1216	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_011911_group.png
8761	12673	87	1005	1265	1217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_012673_group.png
12712	12872	97	1244	514	1290	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_012712_012872_group.png
13388	13389	167	0	396	0	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_013388_013389_group.png
13842	13957	221	1327	501	1377	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_013842_013957_group.png
13842	14285	94	1327	501	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_013842_014285_group.png
13842	14397	94	1327	501	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_013842_014397_group.png
14114	14562	94	1446	375	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_014114_014562_group.png
13842	14940	94	1327	501	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_013842_014940_group.png
13842	15133	94	1327	501	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_013842_015133_group.png
14114	15286	94	1446	542	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_014114_015286_group.png
14114	15400	94	1446	596	1510	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_014114_015400_group.png
13842	15562	148	1327	501	1377	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_013842_015562_group.png
14114	15954	94	1446	718	1587	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_014114_015954_group.png
14114	16050	46	1446	718	1589	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_014114_016050_group.png
6648	16513	29	925	1265	1377	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_006648_016513_group.png
8761	17002	87	0	1265	1217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_008761_017002_group.png
17290	17591	135	2187	616	2234	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_017591_group.png
17290	17626	135	2187	616	2234	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_017626_group.png
17290	18037	135	2187	616	2354	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_018037_group.png
17290	18257	96	2187	616	2369	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_018257_group.png
17290	18716	96	2187	616	2369	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_018716_group.png
17999	18800	96	2307	375	2369	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017999_018800_group.png
17999	18812	96	2307	413	2371	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017999_018812_group.png
17290	19063	135	2187	616	2242	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_019063_group.png
17290	19246	135	2187	616	2242	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_019246_group.png
17290	19901	135	2173	616	2276	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_019901_group.png
17999	20024	96	2307	464	2371	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017999_020024_group.png
17290	20462	121	2157	616	2276	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_020462_group.png
17290	20612	121	2157	616	2276	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_020612_group.png
17290	20809	96	2157	616	2371	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_020809_group.png
17290	21422	96	2157	616	2371	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//sentences/obj_017290_021422_group.png
