start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
313	323	171	206	510	362	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000006.png
330	353	578	266	621	309	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000008.png
373	490	232	267	843	507	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000009.png
492	515	744	295	797	354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000010.png
540	604	176	176	436	343	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000011.png
635	694	653	198	771	269	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000014.png
714	741	269	175	515	344	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000015.png
744	760	795	193	848	243	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000016.png
765	779	587	443	616	490	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000017.png
789	822	655	384	785	551	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000018.png
961	1058	111	892	591	1079	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000025.png
1110	1119	634	960	829	981	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000026.png
1121	1227	127	866	778	1152	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000028.png
1249	1313	202	863	741	1050	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000029.png
1328	1369	587	892	817	1282	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000031.png
1375	1385	514	1195	551	1231	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000032.png
1534	1636	117	1581	597	1769	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000038.png
1658	1671	654	1662	856	1679	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000040.png
1730	1791	104	1544	782	1857	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000043.png
1850	1911	348	1549	850	1677	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000049.png
1943	1983	604	1803	755	1983	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000050.png
2028	2046	790	1869	829	1898	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000052.png
2082	2176	594	1795	730	1979	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000053.png
2264	2384	865	1815	976	1938	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000063.png
2682	2734	115	2290	344	2480	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000075.png
2753	2779	301	2363	372	2426	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000078.png
2783	2873	408	2283	845	2473	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000079.png
2876	2897	627	2296	683	2367	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000081.png
2902	2912	720	2322	766	2354	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000082.png
2915	3118	782	2284	848	2345	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000087.png
2915	3118	557	2553	980	2724	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000087.png
3226	3277	87	2996	435	3198	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000093.png
3281	3320	368	3067	538	3176	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000094.png
3347	3356	637	3068	843	3109	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000096.png
3385	3527	558	2981	853	3441	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000105.png
3711	3787	111	3668	567	3823	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000112.png
4072	4134	177	3887	178	3888	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000122.png
4136	4198	84	3867	360	4018	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000126.png
4245	4311	376	3864	566	4020	../SampleVideos/more/tecmath1/tecmath1_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000129.png
