start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	507	162	57	456	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000001.png
618	673	211	96	352	136	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000002.png
692	753	91	172	222	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000002.png
855	916	215	37	421	74	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000003.png
946	990	231	197	320	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000004.png
1157	1196	262	63	359	87	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000004.png
1232	1262	338	198	405	217	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000004.png
1317	1354	267	86	427	129	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000005.png
1383	1414	420	192	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000005.png
1515	1604	89	238	204	274	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000006.png
1754	1897	222	253	380	283	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000007.png
2544	2618	484	56	603	97	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000010.png
2684	2811	137	159	634	233	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000011.png
2890	2996	126	241	565	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/consecutive//stcstrokes//sentence000011.png
