start_fid 	 end_fid 	 tlx 	 tly 	 brx 	 bry	 filename
352	491	162	62	442	103	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000352_000491_group.png
494	753	91	57	456	215	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000494_000753_group.png
855	958	215	37	421	206	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000855_000958_group.png
959	1262	262	63	405	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_000959_001262_group.png
1317	1417	267	86	475	221	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001317_001417_group.png
1515	1604	89	238	204	274	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001515_001604_group.png
1754	1897	222	253	380	283	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_001754_001897_group.png
2143	2156	334	98	344	271	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002143_002156_group.png
2496	2605	484	60	585	92	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002496_002605_group.png
2606	3092	126	56	634	303	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_002606_003092_group.png
3337	3457	263	273	528	280	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003337_003457_group.png
3478	3552	428	276	463	291	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003478_003552_group.png
3779	3784	417	246	421	251	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_003779_003784_group.png
4635	4914	194	76	621	809	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004635_004914_group.png
4916	5259	211	755	648	805	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_004916_005259_group.png
5276	5525	114	808	466	832	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005276_005525_group.png
5549	6159	106	779	582	914	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_005549_006159_group.png
6206	6523	84	857	883	922	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_006206_006523_group.png
6528	6541	889	858	910	917	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_006528_006541_group.png
6579	7162	29	886	673	991	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_006579_007162_group.png
7171	7267	587	925	876	998	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_007171_007267_group.png
7271	7280	851	929	902	995	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_007271_007280_group.png
7412	7753	94	784	668	1012	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_007412_007753_group.png
7827	8018	130	1055	504	1100	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_007827_008018_group.png
8022	8172	191	960	529	1096	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_008022_008172_group.png
8268	8375	131	789	345	813	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_008268_008375_group.png
8414	8432	190	795	226	797	../SampleVideos/more/trushit/trushit_removelogo_fgpixel_objs_noseg/cleanup/negate/sentences/obj_008414_008432_group.png
